game,rank,watch_time_hours,game_lower,disponibilidade
Talk Shows & Podcasts,65,41099134.0,talk shows podcasts,Unknown
"Animals, Aquariums, and Zoos",66,41012187.0,animals aquariums and zoos,Unknown
"Pools, Hot Tubs, and Beaches",119,17540965.0,pools hot tubs and beaches,Unknown
The Sims 4,120,17431312.0,the sims 4,Unknown
Co-working & Studying,143,13750987.0,co-working studying,Unknown
RV There Yet?,150,12888444.0,rv there yet,Unknown
Food & Drink,151,12826377.0,food drink,Unknown
DARK SOULS II: Scholar of the First Sin,152,12783007.0,dark souls 2: scholar of the first sin,Unknown
HELLDIVERS 2,169,11512719.0,helldivers 2,Unknown
"No, I'm Not A Human",186,9585234.0,no i'm not a human,Unknown
Dungeons & Dragons,208,8291838.0,dungeons dragons,Unknown
osu!,209,8278971.0,osu,Unknown
Makers & Crafting,213,7954511.0,makers crafting,Unknown
Science & Technology,243,6751395.0,science technology,Unknown
eFootball,318,4375255.0,efootball,Unknown
Miniatures & Models,341,3920993.0,miniatures models,Unknown
Fitness & Health,409,3110320.0,fitness health,Unknown
Writing & Reading,477,2212812.0,writing reading,Unknown
Lego & Brickbuilding,482,2184359.0,lego brickbuilding,Unknown
Metal Gear Solid,547,1815980.0,metal gear solid,Unknown
Tomb Raider I-III Remastered,650,1405243.0,tomb raider i-3 remastered,Unknown
HλLF-LIFE,742,1156260.0,hλlf-life,Unknown
Fate/Grand Order,818,976235.0,fate grand order,Unknown
Olympic Games Tokyo 2020: The Official Video Game,842,926832.0,olympic games tokyo 2020: the official video game,Unknown
Gaggl,850,918077.0,gaggl,Unknown
NEXTRP,852,914016.0,nextrp,Unknown
METEL,879,874901.0,metel,Unknown
Entropia Universe,883,872201.0,entropia universe,Unknown
Poppy Playtime: Chapter 4,884,872017.0,poppy playtime: chapter 4,Unknown
Carnival Hunt,890,862328.0,carnival hunt,Unknown
King of Meat,891,861340.0,king of meat,Unknown
Spirit City: Lofi Sessions,892,860798.0,spirit city: lofi sessions,Unknown
Tempest Rising,893,858962.0,tempest rising,Unknown
Agreeee,894,858137.0,agreeee,Unknown
Star Wars: Knights of the Old Republic,896,857385.0,star wars: knights of the old republic,Unknown
33 Immortals,897,855005.0,33 immortals,Unknown
Disciples II: Rise of the Elves,898,853398.0,disciples 2: rise of the elves,Unknown
Skinfreak,899,853104.0,skinfreak,Unknown
Silent Hill 4: The Room,902,849531.0,silent hill 4: the room,Unknown
The Witcher,904,848050.0,the witcher,Unknown
DEAD RESET,907,845139.0,dead reset,Unknown
Monster Rancher 2 DX,908,842316.0,monster rancher 2 dx,Unknown
Twelve Minutes,911,838405.0,twelve minutes,Unknown
AI LIMIT,912,827730.0,ai limit,Unknown
GONE Fishing,916,825233.0,gone fishing,Unknown
Persona5: The Phantom X,918,822809.0,persona5: the phantom x,Unknown
Kartrider,919,821719.0,kartrider,Unknown
Level Devil,920,821539.0,level devil,Unknown
VEIN,923,819834.0,vein,Unknown
Control,924,817109.0,control,Unknown
School 666,925,816641.0,school 666,Unknown
Heroes of Might & Magic: Olden Era,927,814412.0,heroes of might magic: olden era,Unknown
Backseat Drivers,936,799581.0,backseat drivers,Unknown
The Sims,937,798615.0,the sims,Unknown
Like a Dragon: Infinite Wealth,938,797931.0,like a dragon: infinite wealth,Unknown
Dead Take,940,796707.0,dead take,Unknown
Escape Simulator 2,943,792767.0,escape simulator 2,Unknown
Town to City,945,787399.0,town to city,Unknown
Winning Post 10 2025,948,787022.0,winning post 10 2025,Unknown
MapleStory N,954,775804.0,maplestory n,Unknown
Chivalry 2,957,771353.0,chivalry 2,Unknown
Midnight Murder Club,960,767899.0,midnight murder club,Unknown
MISERY,961,767231.0,misery,Unknown
Star Trek Fleet Command,963,762041.0,star trek fleet command,Unknown
Path of Titans,965,759753.0,path of titans,Unknown
Wrap House Simulator,966,759526.0,wrap house simulator,Unknown
Nordhold,973,747220.0,nordhold,Unknown
Embervale.TV,974,747108.0,embervale.tv,Unknown
Firefighting Simulator: Ignite,975,746064.0,firefighting simulator: ignite,Unknown
Make it Meme,977,745769.0,make it meme,Unknown
That's Not My Neighbor,978,744316.0,that's not my neighbor,Unknown
Mu: Dark Epoch,980,739841.0,mu: dark epoch,Unknown
Total Chaos,981,739722.0,total chaos,Unknown
Road to Empress I,987,735495.0,road to empress i,Unknown
Unpossess,989,730992.0,unpossess,Unknown
Tony Hawk's Pro Skater 3+4,994,726878.0,tony hawk's pro skater 3+4,Unknown
The Midnight Walkers,995,726509.0,the midnight walkers,Unknown
DCS World,996,726207.0,dcs world,Unknown
Guild Wars,997,723703.0,guild wars,Unknown
Love and Deepspace,998,723329.0,love and deepspace,Unknown
Japan Stigmatized Property,999,721259.0,japan stigmatized property,Unknown
